a	एक
abnormal	अप्रसम,असामान्य,असाघारण,अनियमित,अस्वाभाविक
abnormalcy	असामान्यता,अपसामान्यता
abnormality	असामन्यता,अपसामान्यता,न्यूनमनस्कता,सनकीपन,अनियमितता
abnormally	असामान्य रूप से,अस्वाभाविक ढंग से,असाधारण रूप से
abnormity	अनियमितता
aboard	सवार
abocclusion	एबौक्लूज़न
abode	आवास,निवास
abohm	एबौम
aboil	उबलता हुआ
abolish	उठा देना,उन्मूलन करना,समाप्त करना
abolishable	उन्मूलनीय,मिटा देने योग्य
abolisher	उन्मूलक,समापनकर्ता
abolishment	उन्मूलन,समापन
abolition	उन्मूलन,समापन,अन्त
abolitionary	उन्मूलनवादी
abolitionism	दासता उन्मूलन आंदोलन
abolitionist	उन्मूलनवादी,दासता.विरोधी
abomasal	चतुर्थ आमाशय संबंधी
abomasum	चतुर्थ आमाशय
abominable	घृणित,बुरा,अप्रिय
abominably	बेकार ढंग से,बुरी तरह से
abominate	बहुत नफ़रत करना,नापसंद करना
abomination	घृणा,घृणास्पाद बात,नफ़रत,जुगुप्सा,घृणित व्यक्ति,जुगुप्साजनक कार्य
abominator	घृणा करने वाला,जुगुप्सक
aboral	अपमुखी
aborigines	आदिम वनस्पति तथा प्राणी
abort	गर्भपात होना,निष्फल,व्यर्थ हो जाना
aborticide	गर्भनाशक,गर्भनाशक दवा,गर्भपात
abortifacient	गर्भनाशक,गर्भनाशक दवा,गर्भनाशक,गर्भनाशी
abortion	गर्भपात होना,भ्रूणहत्या
abortionist	गर्भपात करानेवाला,गर्भपातक
abortive	असफल,निष्फल,अपूर्ण रूप से विकसित,अधूरा
abortus	निष्कासित भ्रूण
aboulia	संकल्प.अक्षमता,इच्छादौर्बल्य
aboulic	संकल्प.अक्षमताग्रस्त,इच्छादौर्बल्यग्रस्त
abound	(से) भरपुर होना
abounding	भरपूर,प्रचुर
about	पास,चारो ओेर,आसपास,लगभग,प्रचलित,के बारे में
above	के ऊपर,के परे
aboveboard	सच्चा,निष्कपट,खुल्लमखुल्ला,ईमानदारी से
aboveground	भूमि के ऊपर का,भू.सतह का
abracadabra	बीजमन्त्र,अनाप शनाप
abrachia	सहज अप्रगण्डता,जन्मजात बाहुहीनता
abradant	अपघर्षक
abrade	घिसना
abrader	अपघर्षी यंत्र
abraham	अब्रहाम
abranchial	गलफ़ड़ारहित,अक्लोम
abranchiate	गलफ़ड़ारहित,अक्लोम
abranchious	गलफ़ड़ारहित,अक्लोम
abrase	घिस जाना,रगड़ कर साफ़ करना,घिसना
abrasion	घिसाई,घर्षण,खरोंच
abrasive	अपघर्षक
abrasively	कर्कशता से
abrasiveness	कर्कशता,खुरदरापन
abreact	भाव.विरेचन करना
abreaction	भाव.विरेचन
abreast	पंक्तिबद्ध,बराबर
abridge	संक्षिप्त करना,घटाना
abridged	संक्षिप्त
abridgement	संक्षेपण,संक्षेप
abridger	संक्षेपक,संक्षेपकार
abridgment	संक्षेपण
abroach	खुला,गतिमान,सक्रिय
abroad	विदेश में,बाहर
abrocome	एब्रोकोम
abrogable	निराकरणीय,निराकरण
abrogate	रद्द करना,निरस्त करना
abrogation	रद्द करना,निरसन
abrogator	निराकर्ता
abroma	उलटकम्बल
abrupt	आकस्मिक,अचानक,रूखा
abruption	अवखंडन
abruptly	अचानक ही,अचानक,रूखेपन से,अशिष्टता से
abruptness	आकस्मिकता,रुखाई,रूखापन,दुरारोहता,उतावलापन,हड़बड़ी
abscess	फोड़ा,विद्रधि
abscissa	भुज
abscission	अपच्छेदन,विगलन
abscond	पलायन करना,फरार होना
absconder	फ़रारी,पलायनकर्ता
abscondment	पलायन,फ़रार होना
abseil	दोहरी रस्सी के सहारे उतरना,रज्जु.आरोहण,रज्जु.आरोहण करना
abseiler	रज्जु.आरोहणकर्ता,दोहरी रस्सी के सहारे उतरने वाला
absence	अनुपस्थिति,गैरहाजिरी
absent	अनुपस्थित,अनमना
absentee	अनुपस्थित,गैरहाजिर
absenteeism	अनुपस्थितता,अनुपस्थिति
absently	अनमने भाव से
absentminded	खोया.खोया
absentmindedness	अन्यमनस्कता
absinth	अफ़संतीन,चिरायता
absinthe	अफ़संतीन,चिरायता
absolute	निरपेक्ष,अनपेक्ष,पूर्ण,परम,परिशुद्ध,सुनिश्चित
absolutely	पूर्णतया,बिलकुल
absoluteness	संपूर्णता,सुनिश्चितता,दृढ़ता
absolution	निर्मुक्ति,क्षमादान
absolutism	निरंकुशता,तानाशाही,निरंकुशतावाद,स्वेच्छाचारितावाद,परम तत्ववाद
absolutist	निरंकुश,निरंकुशतावादी,निरंकुशतावादी,स्वेच्छाचारितावादी,परम तत्ववादी,निरंकुशतावादी,स्वेच्छाचारितावादी
absolutistic	निरंकुशवादी,स्वेच्छाचारितावादी
absolve	से मुक्त,छुटकारा देना
absolved	दोषमुक्त
absolver	क्षमादाता,मुक्तिदाता
absonant	बेसुरा,कर्कश,बेतुका
absorb	सोख लेना,चूस लेना,अवशोषण,आत्मसात करना
absorbate	अवशोष्य पदार्थ
absorbed	तल्लीन,सोखा.हुआ,डूबा
absorbency	अवशोषकता
absorbent	अवशोषक,अवशोषक पदार्थ,अवशोषी
absorber	अवशोषक,अवशोषी
absorbing	दिलचस्प
absorptance	अवशोषण दर
absorption	अवशोषण,अवचूषण,विलयन,समावेशन,तन्मयता
absorptive	अवशोषक
absorptivity	अवशोषकता
abstain	से परहेज करना,से बाज आना,त्यागना
abstainer	परहेज़ी,दूर रहने वाला,संन्यासी,मद्य.त्यागी
abstemious	मिताहारी,संयमी
abstemiousness	संयमिता,मिताहारिता
abstention	परहेज़,मतदान नहीं करना
abstentious	संयमी
abstersion	अपमार्जन
abstinence	परहेज,संयम,मद्यत्याग
abstinent	मद्य.त्यागी,संयमी,संयमी
abstract	अमूर्त,निराकार,सारांश,सार,निकालना,संक्षेप
abstracted	निकाला गया,अन्यमनस्क,खोया.खोया
abstractedly	अनमने भाव से
abstractedness	अन्यमनस्कता,शून्यमनस्कता
abstracter	संक्षेपकार,संक्षेपकर्ता
abstraction	अन्यमनस्कता,अमूर्तता,अमूर्तता,पृथक्करण,निकालना,शून्यमनस्कता,कल्पना,ख़याल,संक्षेपण
abstractionism	अमूर्तवाद,अयथार्थवाद
abstractionist	अमूर्तवादी,अयथार्थवादी
abstractly	अनमने भाव से
abstractor	संक्षेपकार,संक्षेपकर्ता
abstruse	दुरूह,दुर्बोध,गूढ़
abstruseness	गहराई,अस्पष्टता,जटिलता,गहनता
abstrusity	गहराई,गहनता
absurd	बेेतुका,निरर्थक,अनर्गल
absurdity	बेतुकापन,अनर्थकता,बेतुकापन,असंगति,बेवकूफ़ी
absurdly	बेतुके रूप से
absurdness	बेतुकापन,असंगतिअ
absymally	बहुत ही भद्दे ढंग से,बहुत ही
abulia	संकल्प.अक्षमता,इच्छादौर्बल्य
abulic	इच्छादौर्बल्यग्रस्त,संकल्प.अक्षमताग्रस्त
abundance	बहुतायत,बाहुल्य
abundant	प्रचूर,भरपूर,बहुल
abundantly	अधिक मात्रा में,प्रचुरतापूर्वक
abuse	दुरूपयोग करना,दुवर्यवहार करना; गाली देना
abused	अपप्रयुक्त,दुर्व्यवहारित,प्रताड़ित
abuser	दुर्व्यवहारी,दुरुपयोग करने वाला,दुरुपयोगकर्ता,गाली देने वाला,दुर्वचनवक्ता
abusive	गलत,अनुचित,अपमानजनक
abusively	ग़लत तरीक़े से,अपमानजनक ढंग से,अनुचित ढंग से,गलत ढंग से
abut	से सटा हुआ,या लगा हुआ,मिलना
abutment	पीलपाया,आधार,जोड़
abutter	संसक्त स्वामी
abutting	लगा हुआ,जुड़ा हुआ
abuzz	गूँजता हुआ,गुंजायमान
abvolt	ऐबवोल्ट
aby	प्रायश्चित करना,क्षतिपूर्ति करना
abye	प्रायश्चित करना,क्षतिपूर्ति करना
abysm	रसातल,अगाध गर्त
abysmal	नितलीय,अगाध,अथाह
abysmally	बेकार ढंग से,बहुत ही भद्दा
abyss	अगाध,गतर्त,रसातल
abyssal	अथाह
acacia	बबूल,कीकर,खैर
academe	शैक्षिक विश्व,शिक्षा.जगत
academia	शैक्षिक विश्व,शिक्षा.जगत
academic	शैक्षिक,अकादमिक
academically	शैक्षणिक दृष्टि से
academician	अकादमी सदस्य,शिक्षक
academicianship	अकादमी सदस्यता
academicism	शास्त्रीय रूढ़िवादिता,सैद्धांतिक शिक्षावाद,शास्त्रीयता
academism	शास्त्रीय रूढ़िवादिता,सैद्धांतिक शिक्षावाद,शास्त्रीयता
academy	अकादमी,अकादमी,विद्यालय,प्रशिक्षण शाला
acantha	गाँठ
acanthocyte	काँटेदार लाल रक्त.कोशिका
acanthocytosis	अकेंथोसाइटोसिस
acanthoid	काँटे के आकार का
acantholysis	अकेंथोलाइसिस
acanthoma	त्वचा.अर्बुद
acanthosis	झुनझुनाहट,अकेंथोसिस
acanthotic	अकेंथोसिसग्रस्त
acanthous	काँटे के आकार का
acapnia	अकैप्निया
acapnial	अकैप्निया.संबंधी
acapnic	अकैप्निया.संबंधी
acapnotic	अकैप्निया.संबंधी
acaracide	कुटकीनाशक
acardia	हृदयहीनता,अहृदयता
acardiac	हृदयहीन,अहृदय
acariasis	कुटकी रोग
acaricide	कुटकीनाशक
acaridiasis	कुटकी रोग
acariosis	कुटकी रोग
acarophobia	कीटभीति
acarpellous	अंडपहीन
acarpelous	अंडपहीन
acarpous	फलहीन
acatalectic	पूर्णपदी
acatalepsy	अबोधगम्यता
acataphasia	वाक्यरचना.अक्षमता,असंबद्धवाक्
acathexia	धारण.अक्षमता
acathexis	अकैथेक्सिस
acaudal	पुच्छविहीन,पूँछरहित
acaudate	पुच्छविहीन,पूँछरहित
acaulescent	तनारहित
accede	पद या कार्यभार ग्रहण करना,स्वीकार करना,मान लेना
accelerando	उत्तोरत्तर त्वरित
accelerate	गति (या चाल)बढाना,त्वरण
accelerated	त्वरित,द्रुत गति से किया हुआ
accelerating	त्वरणशील
acceleration	त्वरण,बढ़ोतरी,त्वरण,गति वर्धन
accelerative	त्वरायिक
accelerator	त्वरक,त्वरक,गतिवर्धक,त्वरित्र,उपरोधक,उत्प्रेरक,एक्सिलरेटर,गतिज.ऊर्जावर्धक
acceleratory	त्वरायिक
accelerometer	त्वरामापी
accent	स्वराघात,उच्चारण चिन्ह,बल,लहजा,उच्चारण
accented	बलाघातित,बलाघातयुक्त,स्वराघातित
accenting	ज़ोर
accentor	एक्सेंटर
accentual	बलाघातीय,स्वराघातीय,बलाघातित,स्वराघातित
accentuate	अधिक सुस्पष्ट करना,जोर दना,जोर देना
accentuation	स्वराघात,ज़ोर,स्वरांकन
accept	ग्रहण करना,लेना,स्वीकार करना,मान लेना
acceptability	स्वीकार्यता,ग्राह्यता
acceptable	स्वीकार्य,अनुकूल,ठीक,काफ़ी,संतोषजनक,योग्य
acceptableness	स्वीकार्यता,ग्राह्यता
acceptablility	स्वीकार्यता
acceptably	ठीक.ठाक
acceptance	स्वीकृति,स्वीकृति,अनुमोदन,स्वीकरण,स्वीकृति,स्वीकार,स्वीकरण
acceptant	स्वीकार करने वाला,ग्रहण करने वाला
acceptation	रूढ़ार्थ,स्वीकरण
accepted	स्वीकृत,स्वीकार्य,वैध,अविवादित,मान्यताप्राप्त
accepting	स्वीकार करने वाला,बर्दाश्त करने वाला
acceptive	स्वीकार करने वाला,ग्रहण करने वाला
acceptor	स्वीकारकर्ता,स्वीकारकर्ता,सकारक
access	आगमन,उपागमन,रास्ता,प्रवेश,पहुॅंच,वृद्धि
accessary	सहायक,उपसहायक
accessibility	सुगम्यता,उपलब्धता,सुलभता
accessible	सुगम्य,सुलभ,अभिगम्य,उपलब्ध,प्राप्य,गम्य,गमनीय
accession	पदग्रहण,राज्यारोहण,अनुवृद्धि,प्रवेश,दाखिला,पंजीकरण करना
accessional	राज्यारोहण संबंधी,प्रवेशाधिकार संबंधी
accessorial	अतिरिक्त,सहायक
accessory	अतिरिक्त वस्तु,सहयोगी,एक्सेसरी,उपसाधन,सहायक अपराधी,अपराध.सहायक,अतिरिक्त उपस्कर,पूरक,सहायक
acchievement	सफलता
acciaccatura	अनुग्रह.टिप्पणी
accidence	शब्दरूप
accident	दुर्घटना,आपात,अप्रत्याशित घटना,संयोग
accidental	आकस्मिक,अप्रत्याशित,विकृत स्वर,सांयोगिक,बेखबर
accidentally	अचानक,संयोगवश,अचानक ही,अनजाने में,धोखे से,संयोग से
accidie	निष्क्रियता,निराशा
accipitrine	बाज संबंधी
acclaim	तालियां बजाना,जय घोष करना,अभिनन्दन करना
acclamation	अभिनंदन,वाहवाही,प्रशंसा,मौखिक मतदान,जयजयकार,जयघोष,साधुवाद
acclimate	पर्यनुकूलित होना,आदी होना
acclimation	पर्यनुकूलन
acclimatisation	पर्यनुकूलन
acclimatise	पर्यनुकूलन करना,दशानुकूलित करना,पर्यनुकूलित होना,आदी होना
acclimatization	दशानुकूलन,परिस्थितिकूल
acclimatize	जल वायु (वातावरण,परिस्थिति) का आदी होना
acclivitous	आरोही,चढ़ावदार,उत्प्रवण
acclivity	चढ़ाई
acclivous	चढ़ावदार,उत्प्रेवण
accolade	आलिंगन,पुरस्कार
accommodate	समायोजित करना,अनुकूल बनाना,समझौता कराना,ठहराना
accommodating	समंजनशील,समंजक,सरल,समझौतापरक
accommodatingly	उदारतापूर्वक,अनुग्राही ढंग से
accommodation	समायोजन,अनुकूलन,आवास,समझौता
accommodational	समंजन संबंधी
accommodations	आवास,निवास
accommodative	समंजनशील,सरल,समझौतापरक
accommodator	अनुग्रहकर्ता,कृपा करने वाला
accompanied	के साथ,के संग
accompaniment	संलग्ल वस्तु,संगत
accompanist	संगतकार
accompany	के साथ चलना या जाना,साथ देना,जोड़ना
accompanying	जुड़ा हुआ,संलग्न
accompanyist	संगतकार,संगत देने वाला,उपवादक
accomplice	सहापराधी,अभिषंगी
accomplish	पूरा करना,सम्पादित करना
accomplishable	कार्यान्वित होने योग्य,निष्पाद्य
accomplished	पूरा किया हुआ,समाप्त,सम्पादित
accomplishment	सम्पादन,उपलब्धि,दक्षता
accord	से मेल खाना,के अनुरूप होना,समझौता,मेल,प्रदान करना
accordance	अनुरूपता,समनुरूपता,अनुसारता,प्रदान
accordant	अनुरूप,सामंजस्यपूर्ण,मेल खाता,अनुकूल
according	जैसे कि,जितना,ज्यों-ज्यों,के अनुसार
accordingly	फलस्वरूप,तदनुसार,परिस्थिति के अनुसार
accordion	एक वाद्ययंत्र
accordionist	अकर्डियनवादक
accost	सम्बोधित करना,छेड़ना,लुभाना
accouchement	प्रसव,शिशुजनन
accoucheur	प्रसूति.विशेषज्ञ
accoucheuse	प्रसाविका
accounchement	प्रसव,प्रसूति
account	समझना,मानना,हिसाब,लेखा,कारण बताना,जिम्मेवार,विवरण
accountability	उत्तरदायित्व,जवाबदेही
accountable	उत्तरदायी,जिम्मेवार,लेखादेय
accountancy	लेखा - विद्या
accountant	लेखाकार,लेखापाल,मुनीम
accountantship	लेखाकारिता,लेखापाल का पद
accounting	लेखा,लेखा.जोखा,हिसाब.किताब,लेखाविधि,लेखाकर्म,लेखा प्रणाली,लेखा पद्धति
accouter	सैन्य.उपकरण देना
accoutere	सज्जित करना
accoutered	सैन्य.उपकरणों से सुसज्जित,लैस
accouterment	अतिरिक्त उपस्कर
accoutre	सैन्य.उपकरण देना
accoutred	सैन्य.उपकरणों से सुसज्जित,लैस
accoutrement	अतिरिक्त उपस्कर
accoutrements	सज्जा,साज-समान
accredit	अधिकृत करना,श्रेय देना,अधिकार देना,प्रत्यायित करना,मान्यता देना
accreditation	प्रत्यायन
accredited	प्रतयायित,अधिकृत,मान्य
accrete	बढ़ना,जुड़ जाना
accretion	वृद्धि,उपचय,सहवृद्धि
accretionary	अभिवर्धित,संचयित
accretive	अभिवर्धी,सहवर्धी
accrual	प्रोदभवन,संभूति
accrue	जमा करना,बढ़ना,प्राप्त होना,अधिकार में आना,मिलना,इकट्ठा करना,के हिस्से में आना
accrued	जमा,इकट्ठा
accruement	संचयन,संग्रहण
acculturate	परसंस्कृति ग्रहण करना,परसंस्कृति समावेश करना
acculturation	संस्कृति-संक्रमण
acculturational	संस्कृतिग्राही
acculturative	संस्कृतिग्राही
accumbent	लेटा हुआ,मूलाभिमुख,प्रतिस्थित
accumulate	संचय करना,संग्रह करना,बढ़ता जाना
accumulated	जमा,इकट्ठा
accumulation	संचयन,जमाव,संग्रहण
accumulative	संचयी,संचयशील
accumulator	संकलनकर्ता,एक्युमुलेटर,संचायक
accuracy	परिशुद्धि,परिशुद्धता
accurate	परिशुद्ध,विशुद्ध,सही,एकदम ठीक
accurately	सही.सही,सही ढंग से
accurse	शाप देना
accursed	अभिशप्त,शापित
accurst	शापग्रस्त,अभिशप्त
accusal	दोषारोपण,इल्ज़ाम
accusation	अभियोजन,दोषारोपण,इलजाम
accusative	कर्म कारक,द्वितीया
accusatorial	अभियोजकीय
accusatory	अभियोगात्मक
accuse	दोष लगाना,आरोप लगाना
accused	अभियुक्त,दोषी,मुलज़िम
accuser	अभियोक्ता,फ़रियादी
accusing	अभियोगात्मक,इल्ज़ाम लगाता
accusingly	अभियोग लगाते हुए,आरोप लगाते हुए,अभियोगात्मक ढंग से
accusive	अभियोगात्मक,चुगली खाता
accustom	अभ्यस्त करना,आदी बना करना,साधना
accustome	आदी या अभ्यस्त बनाना,आदत डालना
accustomed	अभ्यस्त,चिर.परिचित,आदी,परिचित,हमेशा का
ace	इक्का श्रेष्ठ (प्रतियोगी)
acebutolol	एसीब्यूटोलौल
acedia	आलस
acellular	अकोशिकीय
acentric	अकेंद्रित
acephalia	सहजशिरोहीनता,सहज.अशीर्षता
acephalism	सहज.अशीर्षता,सहजशिरोहीनता
acephalous	आशीर्षी,अशिरस्क,नेतृत्वहीन
acephaly	सहजशिरोहीनता,सहज.अशीर्षता
acerate	सुई के समान,सूचीवत
acerb	कटु,कसैला,कषाय,खट्टा,तिक्त
acerbate	कटु बनाना,चिढ़ना
acerbic	कटु,कड़वा,खट्टा,तीखा,कसैला,कषाय,तिक्त
acerbity	खटटापन,कसाव
acerose	सुई के समान,सूचीवत
acervate	प्रगुच्छित,पुंजित
acetabular	प्याले के आकार का,चषकाकार
acetal	एसिटैल
acetaldehyde	ऐसिटैलडिहाइड
acetaldol	ऐसिटैल्डौल
acetamide	ऐसिटेमाइड
acetate	शुक्तीय
acetic	शुक्तिक
acetification	शुक्तीकरण
acetify	का सिरका बना देना,खट्टा बनना
acetin	ऐसिटिन
acetone	शुक्ता
acetonemia	अम्लरक्तता,रक्ताम्लता
acetonic	ऐसिटोनयुक्त,शुक्तायुक्त
acetonuria	एसीटोनमेह
acetose	सिरके जैसा,सिरके जैसा
acetous	सिरके जैसा,सिरके जैसा
acetum	सिरका,ऐसिटम
acetyl	ऐसिटाइल
acetylene	ऐसीटिलीन गैस
acetylenic	ऐसिटिलीन का
ache	पीड़ा,दर्द
achene	एकीन
achenial	अकीनी
achievability	निष्पाद्यता,प्राप्यता,लभ्यता
achievable	कार्यान्वित होने योग्य,निष्पाद्य,साध्य
achieve	पूरा करना,प्राप्त करना,सफल होना
achievement	उपलब्धि,सफलता,निष्पादन
achiever	सफलता पाने वाला,हासिल करने वाला,सफल व्यक्ति
aching	दर्द,पीड़ा,दुखता हुआ
achira	सर्वजया,देवकली
achivist	ऐतिहासिक अभिलेख संग्रहकर्ता
acholia	अपित्त
achondrite	अकौन्ड्राइट
achondritic	अकौन्ड्राइट से संबंधित,चिकना
achondroplasia	भ्रूणास्थिशोथ,बालास्थिक्षय,उपास्थि.अविकसन
achondroplastic	भ्रूणास्थिशोथग्रस्त,बालास्थिक्षयग्रस्त,उपास्थि.अविकसन से पीड़ित
achondroplasty	भ्रूणास्थिशोथ,बालास्थिक्षय,उपास्थि.अविकसन
achromasia	पीलापन,अवर्णता,निर्वर्णता
achromatic	वर्णहीन,अवर्ण
achromaticity	वर्णहीनता,रंगहीनता
achromatin	अरंज्या
achromatinic	अरंजक
achromatise	वर्णहीन करना,अवर्ण करना
achromatism	अवर्णता
achromatize	वर्णहीन करना,अवर्ण करना
achromatous	रंगहीन,वर्णहीन,अवर्ण
achromia	अवर्णता,निर्वर्णता,वर्णहीनता
achromic	रंगहीन,अवर्ण,वर्णहीन
achromous	रंगहीन,वर्णहीन,अवर्ण
achy	दुखता हुआ,दर्द करता
achylia	अन्नरसाभाव,स्रावहीनता
acicular	सुई के समान,सूचीवत
acid	खटटा,अम्ल,तेजाब,कसौटी
acidemia	अम्लरक्तता,रक्ताम्लता
acidic	अम्लीय,खट्टा
acidification	अम्लीकरण्,अम्लीभवन
acidify	खट्टा करना,आम्ल होना,आम्लीय करना,खट्टा बनाना
acidimetry	अम्लमिति
acidity	अम्लता,ऐसिडिटी,खट्टापन
acidly	रुखाई से
acidology	शल्ययंत्रविज्ञान
acidophil	ऐसिडोफ़िल
acidophile	ऐसिडोफ़ाइल
acidosis	अम्लरक्तता,अम्लमयता,अम्लोपचय
acidulate	खट्टा करना,खट्टा बनाना
acidulent	अम्लीय,खट्टा
acidulous	स्वभाव में तीखा
acidulousness	खट्टापन
acinus	अष्ठिलक,कोष्ठक
acknowledge	स्वीकार करना,कबूलना,आभार मानना
acknowledgement	स्वीकृति,पावती,आभार
acknowledgment	पावती,आभारोक्ति,अभिस्वीकृति,आभारोक्ति,स्वीकृति
aclinic	अनत
acme	पराकाष्ठा,चरम बिन्दु
acne	मॅुंहासा
acock	तिरछे,अक्खड़पन
acolyte	वेदी-सेवक,अनुचर,परिचर
aconite	मोहरी
acorn	बाॅंजफल
acosmism	अविश्ववाद
acotyledon	अबीजपत्र
acoustic	ध्वनिक,श्रवण
acoustical	ध्वनि.संबंधी
acoustically	ध्वानिकी दृष्टि से
acoustician	ध्वनिशास्त्री
acoustics	ध्वानिकी,ध्वनिशास्त्र
acquaint	परिचय या जानकारी प्राप्त करना,अवगत करना
acquaintance	परिचय,जान-पहचान,जानकारी
acquainted	परिचित,परिचित
acquest	उपलब्ध सम्पत्ति
acquiesce	मौन स्वीकृति
acquiescence	मौन सम्मति या सहमति
acquiescent	अनुवर्ती
acquirable	प्राप्य,प्रापणीय
acquire	प्राप्त करना,अर्जित करना,पाना
acquirement	अर्जन,उपार्जन,योग्यता
acquisition	अधिग्रहण,अर्जन,उपलब्धि
acquisitive	अभिग्रहणशील,अर्जनशील
acquisitiveness	अभिग्रहणशीलता,अर्जनशीलता
acquit	निर्दोष ठहराना,रिहा करना,पेश आना
